"name","region","totalSum","theoretical","practical","development","services","workers","scientists","womenScientists","t25","f25t29","f30t34","f35t39","f40t44","f45t49","f50t54","f55t59","f60t64","f65t69","f70","group","menScientists","theorandpract","young","old"
"ФІЗИКО-ТЕХНОЛОГІЧНИЙ ІНСТИТУТ МЕТАЛІВ ТА СПЛАВІВ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",26100,16430,3958,5712,0,453,312,94,10,18,27,19,16,24,24,25,32,39,78,"природничі науки",218,20388,114,198
"ЧЕРНІВЕЦЬКЕ ВІДДІЛЕННЯ ІНСТИТУТУ ПРОБЛЕМ МАТЕРІАЛОЗНАВСТВА ІМЕНІ І.М.ФРАНЦЕВИЧА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Черновцы",1328,644,644,40,0,29,21,3,0,1,0,3,1,2,1,6,2,3,2,"природничі науки",18,1288,7,14
"ІНСТИТУТ ХІМІЇ ПОВЕРХНІ ІМ. О.О.ЧУЙКА НАН УКРАЇНИ","Киев",18145.9,15489.8,2656.1,0,0,243,153,93,0,11,30,28,16,3,7,11,21,15,11,"природничі науки",60,18145.9,88,65
"ІНСТИТУТ ПРОБЛЕМ МАТЕМАТИЧНИХ МАШИН І СИСТЕМ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",12636.5,8183.7,2049.7,2063.9,339.2,214,136,42,0,4,13,9,14,8,7,13,20,25,23,"природничі науки",94,10233.4,48,88
"МІЖНАРОДНИЙ НАУКОВО-НАВЧАЛЬНИЙ ЦЕНТР ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ ТА СИСТЕМ НАН ТА МОН УКРАЇНИ","Киев",22763.3,14658.7,5239.3,2865.3,0,356,237,98,14,17,16,10,20,20,32,32,28,30,18,"природничі науки",139,19898,97,140
"ЦЕНТР МАТЕМАТИЧНОГО МОДЕЛЮВАННЯ ІНСТИТУТУ ПРИКЛАДНИХ ПРОБЛЕМ МЕХАНІКИ І МАТЕМАТИКИ ІМ.Я.С. ПІДСТРИГАЧА НАН УКРАЇНИ","Львов",1867,580,1287,0,0,39,24,12,1,2,2,1,2,0,4,3,4,4,1,"природничі науки",12,1867,8,16
"ІНСТИТУТ ПРОБЛЕМ МОДЕЛЮВАННЯ В ЕНЕРГЕТИЦІ ІМ.Г.Ї.ПУХОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",7796.2,6434,1195.3,166.9,0,100,48,16,0,2,4,2,2,1,3,8,7,4,15,"природничі науки",32,7629.3,11,37
"ІНСТИТУТ КІБЕРНЕТИКИ ІМЕНІ В.М.ГЛУШКОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",63183,49802.1,12860.1,520.8,0,689,508,214,4,46,46,54,25,25,45,63,64,55,81,"природничі науки",294,62662.2,200,308
"ІНСТИТУТ ПРОГРАМНИХ СИСТЕМ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",9430.6,5070.3,2423,988.2,949.1,135,87,33,2,10,10,9,4,6,3,13,14,8,8,"природничі науки",54,7493.3,41,46
"ІНСТИТУТ ІНФОРМАТИКИ І УПРАВЛІННЯ","Харьков",138.3,0,0,138.3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,"природничі науки",0,0,0,1
"ІНСТИТУТ ТЕЛЕКОМУНІКАЦІЙ І ГЛОБАЛЬНОГО ІНФОРМАЦІЙНОГО ПРОСТОРУ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",11936.3,105,11531.3,0,300,87,60,23,1,5,10,9,9,2,2,7,8,4,3,"природничі науки",37,11636.3,36,24
"ІНСТИТУТ ЗАГАЛЬНОЇ ТА НЕОРГАНІЧНОЇ ХІМІЇ ІМ. В.І.ВЕРНАДСЬКОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",17607.5,12061.5,2934.4,0,2611.6,211,155,77,1,22,17,12,16,8,12,15,9,14,29,"природничі науки",78,14995.9,76,79
"ФІЗИКО-ХІМІЧНИЙ ІНСТИТУТ ІМ. О.В. БОГАТСЬКОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Одесса",14027.8,12906,1121.8,0,0,170,104,59,0,4,22,9,5,4,3,19,16,11,11,"природничі науки",45,14027.8,44,60
"ДЕРЖАВНА НАУКОВА УСТАНОВА ""НАУКОВО-ТЕХНОЛОГІЧНИЙ КОМПЛЕКС ""ІНСТИТУТ МОНОКРИСТАЛІВ"" НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Харьков",10756.2,8176.9,59.9,2468.2,51.2,190,83,49,0,9,16,13,11,7,10,6,6,3,2,"природничі науки",34,8236.8,56,27
"ІНСТИТУТ ОРГАНІЧНОЇ ХІМІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",22512.4,14731.1,7781.3,0,0,249,159,51,15,23,18,21,8,12,13,12,18,10,9,"природничі науки",108,22512.4,97,62
"ІНСТИТУТ СОРБЦІЇ ТА ПРОБЛЕМ ЕНДОЕКОЛОГІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",10619.5,9038.2,1531.3,50,0,150,102,55,0,8,14,5,12,8,2,11,17,15,10,"природничі науки",47,10569.5,47,55
"ІНСТИТУТ ФІЗИКО-ОРГАНІЧНОЇ ХІМІЇ І ВУГЛЕХІМІЇ ІМ. Л.М.ЛИТВИНЕНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",5332.8,4710.2,622.6,0,0,58,43,20,0,5,6,2,3,3,2,6,9,1,6,"природничі науки",23,5332.8,19,24
"ІНСТИТУТ ХІМІЇ ВИСОКОМОЛЕКУЛЯРНИХ СПОЛУК НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",18389.3,17331.1,0,0,1058.2,239,152,98,1,12,18,13,4,8,14,21,29,12,20,"природничі науки",54,17331.1,56,96
"ІНСТИТУТ ФІЗИЧНОЇ ХІМІЇ ІМ. Л.В. ПИСАРЖЕВСЬКОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",14787.5,12324.8,2421.7,0,41,161,82,58,0,18,10,24,2,4,7,7,4,4,2,"природничі науки",24,14746.5,58,24
"МІЖВІДОМЧЕ ВІДДІЛЕННЯ ЕЛЕКТРОХІМІЧНОЇ ЕНЕРГЕТИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",2025.4,2025.4,0,0,0,24,16,8,0,4,4,1,0,0,0,2,4,1,0,"природничі науки",8,2025.4,9,7
