"name","region","totalSum","theoretical","practical","development","services","workers","scientists","womenScientists","t25","f25t29","f30t34","f35t39","f40t44","f45t49","f50t54","f55t59","f60t64","f65t69","f70","group","menScientists","theorandpract","young","old"
"ІНСТИТУТ МОВОЗНАВСТВА ІМ. О.О.ПОТЕБНІ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",4162,3771.7,390.3,0,0,52,40,25,0,2,4,2,4,5,2,5,4,5,7,"гуманітарні",15,4162,17,23
"ІНСТИТУТ УКРАІНСЬКОЇ МОВИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",5846,5215.3,630.7,0,0,82,65,57,0,5,9,8,10,13,3,6,3,4,4,"гуманітарні",8,5846,45,20
"ЦЕНТР НАУКОВИХ ДОСЛІДЖЕНЬ ТА ВИКЛАДАННЯ ІНОЗЕМНИХ МОВ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",1957.5,0,1957.5,0,0,7,6,5,0,1,0,1,1,0,0,1,2,0,0,"гуманітарні",1,1957.5,3,3
"УКРАІНСЬКИЙ МОВНО-ІНФОРМАЦІЙНИЙ ФОНД НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",4630.7,2451,2179.7,0,0,38,36,25,1,4,4,3,5,1,2,4,4,4,4,"гуманітарні",11,4630.7,18,18
"ІНСТИТУТ МИСТЕЦТВОЗНАВСТВА, ФОЛЬКЛОРИСТИКИ ТА ЕТНОЛОГІЇ ІМ. М. Т. РИЛЬСЬКОГО НАН УКРАЇНИ","Киев",11203.1,11203.1,0,0,0,143,117,95,0,13,14,7,13,12,9,17,12,8,12,"гуманітарні",22,11203.1,59,58
"ІНСТИТУТ ДЕМОГРАФІЇ ТА СОЦІАЛЬНИХ ДОСЛІДЖЕНЬ ІМЕНІ М.В. ПТУХИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",11811.3,9850.9,1700.1,0,260.3,122,96,73,4,15,14,18,14,10,5,9,2,2,3,"соціальні",23,11551,75,21
"ІНСТИТУТ СОЦІОЛОГІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",8792.3,8253.9,538.4,0,0,106,67,39,0,2,3,2,7,5,9,10,13,8,8,"соціальні",28,8792.3,19,48
"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ ВСЕСВІТНЬОЇ ІСТОРІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",7189.1,7189.1,0,0,0,57,43,21,1,1,7,7,5,1,5,3,3,6,4,"соціальні",22,7189.1,22,21
"ІНСТИТУТ ПОЛІТИЧНИХ І ЕТНОНАЦІОНАЛЬНИХ ДОСЛІДЖЕНЬ ІМ. І.Ф. КУРАСА НАН УКРАЇНИ","Киев",8733.8,8313.8,420,0,0,92,55,18,0,1,4,6,9,9,4,12,2,2,6,"соціальні",37,8733.8,29,26
"ІНСТИТУТ ФІЛОСОФІЇ ІМЕНІ Г.С.СКОВОРОДИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",9603.2,9403.2,200,0,0,127,97,44,0,3,5,6,9,15,11,15,11,9,13,"соціальні",53,9603.2,38,59
"""ІНСТИТУТ ЕНЦИКЛОПЕДИЧНИХ ДОСЛІДЖЕНЬ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",3827.8,1676.8,2151,0,0,27,12,5,0,1,4,4,0,1,0,1,0,0,1,"соціальні",7,3827.8,10,2
"ЗАКАРПАТСЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР СОЦІАЛЬНО-ЕКОНОМІЧНИХ І ГУМАНІТАРНИХ ДОСЛІДЖЕНЬ НАН УКРАЇНИ","Закарпатье",893.3,893.3,0,0,0,8,6,4,0,2,2,0,1,0,0,1,0,0,0,"соціальні",2,893.3,5,1
"ПРИДНІПРОВСЬКИЙ НАУКОВИЙ ЦЕНТР НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ І МІНІСТЕРСТВА ОСВІТИ І НАУКИ УКРАЇНИ","Днепр",702.1,0,702.1,0,0,8,5,2,0,2,0,1,0,0,0,1,1,0,0,"соціальні",3,702.1,3,2
"ДОНЕЦЬКИЙ НАУКОВИЙ ЦЕНТР НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ І МІНІСТЕРСТВА ОСВІТИ І НАУКИ УКРАЇНИ","Донецк (эвакуант)",470.5,0,260.1,0,210.4,5,3,1,0,0,0,0,0,1,1,0,1,0,0,"соціальні",2,260.1,1,2
"ЗАХІДНИЙ НАУКОВИЙ ЦЕНТР НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ І МІНІСТЕРСТВА ОСВІТИ І НАУКИ УКРАЇНИ","Львов",918.2,0,918.2,0,0,14,8,4,0,0,0,0,4,1,0,1,1,1,0,"соціальні",4,918.2,5,3
"ІНСТИТУТ ПРОБЛЕМ РИНКУ ТА ЕКОНОМІКО - ЕКОЛОГІЧНИХ ДОСЛІДЖЕНЬ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Одесса",7100.8,5016,1130.1,808.9,145.8,96,68,47,3,9,10,7,4,2,6,13,6,4,4,"соціальні",21,6146.1,35,33
"ДЕРЖАВНА УСТАНОВА ""ІННОВАЦІЙНИЙ ЦЕНТР НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",2546.1,0,2546.1,0,0,8,6,2,0,0,0,0,0,0,0,0,0,3,3,"соціальні",4,2546.1,0,6
"ЦЕНТР ДОСЛІДЖЕНЬ НАУКОВО-ТЕХНІЧНОГО ПОТЕНЦІАЛУ ТА ІСТОРІЇ НАУКИ ІМ. Г.М.ДОБРОВА НАН УКРАЇНИ","Киев",6124.8,2677,3447.8,0,0,62,53,29,0,6,4,3,3,4,7,1,5,7,13,"соціальні",24,6124.8,20,33
"НАУКОВО-ДОСЛІДНИЙ ЦЕНТР ІНДУСТРІАЛЬНИХ ПРОБЛЕМ РОЗВИТКУ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Харьков",3075.4,2316.1,453.8,0,305.5,36,26,17,0,1,6,4,3,4,1,2,3,1,1,"соціальні",9,2769.9,18,8
"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ ЕКОНОМІКИ ТА ПРОГНОЗУВАННЯ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",32750.8,27174.4,5576.4,0,0,275,224,157,4,22,27,42,32,18,22,18,16,10,13,"соціальні",67,32750.8,145,79
"ІНСТИТУТ РЕГІОНАЛЬНИХ ДОСЛІДЖЕНЬ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",6579.2,5003.2,1576,0,0,109,72,48,1,17,17,10,7,6,6,3,3,1,1,"соціальні",24,6579.2,58,14
"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ ЕКОНОМІКИ ПРИРОДОКОРИСТУВАННЯ ТА СТАЛОГО РОЗВИТКУ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",7978.2,5183.1,2795.1,0,0,84,57,36,0,8,5,15,7,7,2,3,5,1,4,"соціальні",21,7978.2,42,15
"ІНСТИТУТ ДЕРЖАВИ І ПРАВА ІМ. В.М.КОРЕЦЬКОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",8345.9,7440.4,640,0,265.5,110,87,45,0,5,15,18,10,4,5,8,10,4,8,"соціальні",42,8080.4,52,35
